task file path,nb of modal servers, nb of Lo tasks,total nb of possible allocation in simple modal servers, generation of best individual,average time processing for a generation, time of generation initial population
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115434922039.txt,8,2,11,-1,298.58,575
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115436888021.txt,7,2,14,-1,145.55,501
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115436614677.txt,8,3,20,1,762.5,857
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115436410392.txt,11,2,20,-1,61.88,872
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115437224036.txt,9,5,36,0,1065.4,1403
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115440592032.txt,11,3,19,3,682.5,1133
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115439859093.txt,8,3,15,1,508.14,700
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_2811543933412.txt,11,4,24,0,1111.26,1295
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115439926512.txt,9,4,26,5,-1837.98,1060
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115438367087.txt,6,4,14,3,477.11,638
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115438633255.txt,9,2,26,-1,43.48,681
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.6/taskParameters_processor_4_28115439991436.txt,7,2,9,-1,127.7,509
